,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Algorithm,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering
Processing Method,No Data Processing,No Data Processing,No Data Processing,Normalization,Normalization,Normalization,Transformation,Transformation,Transformation,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
Subcluster Size,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5
Silhouette Score,0.3647844914962578,0.2990891968207183,0.2705238695266794,0.36509413627106774,0.3087783706098458,0.2911361005479483,0.3048657147424841,0.2615286178673706,0.2787029078524777,0.3924162081996925,0.33835978126109656,0.2707107107623435,0.36509413627106774,0.3087783706098458,0.2911361005479483,0.39689502369679897,0.32154291108825594,0.2934814746047076
Calinski-Harabasz Score,2137.378707063063,1942.2054979977152,1728.5641262228487,2165.0589138196447,2088.136064290087,1825.342874604638,1471.1278440513533,1386.6153452690357,1337.510510817072,2548.95394898411,2185.0412953104546,1883.5373064659248,2165.0589138196447,2088.136064290087,1825.342874604638,2637.801501088718,2483.118734424217,1963.2358197836859
Davies-Bouldin Score,0.9611958891344424,1.138654965362957,1.232901166288266,1.0122285791650507,1.110064554053514,1.1842409677057635,1.2481508446296985,1.290494778570702,1.158304493487032,0.8930055566529633,0.998441889185947,1.3183683216867146,1.0122285791650507,1.110064554053514,1.1842409677057635,0.9021638010254085,0.9646160777025246,1.1224943953837052
